chr1	11710795	11711019	chr1	11779792	11780098
chr1	11709426	11710393	chr1	11779792	11780098
chr1	28969800	28971643	chr1	29203726	29203855
chr1	38464800	38467000	chr1	38477835	38480179
chr1	54738800	54740000	chr1	54953668	54955357
chr2	11969556	11969600	chr2	12856019	12859550
chr2	26994237	26994598	chr2	27008288	27010298
chr2	27472902	27473542	chr2	27526164	27526264
chr2	27472902	27473542	chr2	27526356	27526456
chr2	27543780	27544400	chr2	27592182	27594827
chr3	9757414	9758165	chr3	9790868	9792600
chr3	9757200	9757322	chr3	9790868	9792600
chr3	12761400	12761558	chr3	12851378	12852261
chr3	45079044	45079203	chr3	45429502	45431165
chr3	45079044	45079203	chr3	46120388	46120491
chr4	1686200	1686755	chr4	1721547	1724765
chr4	1750257	1750455	chr4	1794765	1794857
chr4	1750257	1750455	chr4	1794957	1797225
chr4	1768902	1769129	chr4	1794765	1794857
chr4	6895181	6895696	chr4	6910384	6913583
chr5	131830756	131830800	chr5	131745984	131747130
chr5	132201205	132201600	chr5	131891810	131894741
chr5	132368876	132369400	chr5	132297759	132299994
chr5	132385941	132386200	chr5	132297759	132299994
chr5	132385233	132385730	chr5	132297759	132299994
chr6	26295800	26298196	chr6	26216000	26218947
chr6	26309723	26311800	chr6	26216000	26218947
chr6	26284000	26285000	chr6	26216000	26218947
chr6	26300000	26300523	chr6	26216000	26218947
chr6	26309723	26311800	chr6	26233148	26235770
chr7	76008243	76009000	chr7	75931465	75933908
chr7	76008243	76009000	chr7	75986165	75989363
chr7	76024369	76026600	chr7	75986165	75989363
chr7	76021902	76022000	chr7	76009000	76009800
chr7	99718000	99718629	chr7	99697523	99700378
chr8	103820524	103822200	chr8	103669532	103669789
chr8	103823378	103823808	chr8	103669532	103669789
chr8	103823000	103823030	chr8	103669532	103669789
chr8	103937030	103938229	chr8	103874568	103877660
chr8	124190440	124191000	chr8	124169175	124171091
chr9	132624801	132626400	chr9	132585160	132586865
chr9	132643200	132647200	chr9	132596491	132598963
chr9	139606686	139606889	chr9	139582068	139582476
chr9	139606686	139606889	chr9	139580533	139581968
chr9	139703600	139705200	chr9	139620199	139624004
chr10	79803004	79803800	chr10	79788196	79790000
chr10	80907983	80909200	chr10	79792850	79796647
chr10	82262553	82264400	chr10	82213975	82215713
chr10	82262553	82264400	chr10	82213431	82213830
chr10	88649257	88649357	chr10	88470879	88471946
chr11	3845889	3846911	chr11	3861000	3863136
chr11	34195797	34195890	chr11	34379922	34380162
chr11	34195797	34195890	chr11	34379473	34379621
chr11	34195475	34195697	chr11	34379922	34380162
chr11	34195475	34195697	chr11	34379473	34379621
chr12	54687200	54692200	chr12	54717986	54718654
chr12	54687200	54692200	chr12	54718746	54719849
chr12	57607855	57608067	chr12	57632677	57633250
chr12	57607855	57608067	chr12	57632386	57632528
chr12	57607855	57608067	chr12	57636554	57637250
chr13	27698900	27699000	chr13	27824698	27827977
chr13	31039251	31039343	chr13	31189913	31193230
chr13	50659200	50659642	chr13	50697613	50700720
chr13	51186941	51187099	chr13	51486143	51486200
chr13	77565578	77565600	chr13	77600254	77601771
chr14	23292288	23292600	chr14	23322301	23322905
chr14	50787882	50788000	chr14	50998313	50999760
chr14	50787690	50787790	chr14	50998313	50999760
chr14	105511895	105512017	chr14	105553333	105553567
chr14	95989442	95990869	chr14	95999469	96002883
chr15	52820741	52821049	chr15	52970174	52971958
chr15	52821443	52821835	chr15	52970174	52971958
chr15	52821180	52821309	chr15	52970174	52971958
chr15	55529400	55532775	chr15	55580438	55583000
chr15	75321928	75322137	chr15	75493736	75495967
chr16	2523387	2524000	chr16	2551336	2551628
chr16	21200689	21200800	chr16	21311959	21313392
chr16	21200400	21200480	chr16	21311959	21313392
chr16	85562153	85563695	chr16	85586285	85593586
chr16	2924600	2924862	chr16	2953973	2955577
chr17	8056600	8058000	chr17	8089000	8091390
chr17	25572000	25572600	chr17	25708243	25708415
chr17	25572000	25572600	chr17	25708035	25708135
chr17	31111000	31111005	chr17	31202915	31204278
chr17	31111000	31111005	chr17	31204374	31204650
chr18	2995200	2996514	chr18	3011778	3014236
chr18	3384777	3384932	chr18	3447400	3454419
chr18	3605600	3608834	chr18	3623800	3625544
chr18	9827799	9829812	chr18	9913200	9917128
chr18	9848400	9850600	chr18	9913200	9917128
chr19	921894	922168	chr19	982747	983125
chr19	921433	921765	chr19	982747	983125
chr19	10515600	10515649	chr19	10528605	10532664
chr19	15288139	15288347	chr19	15666552	15666745
chr19	15288610	15288714	chr19	15666552	15666745
chr20	48595463	48595555	chr20	48687696	48688272
chr20	62450709	62451086	chr20	62494907	62497638
chr20	49934613	49934848	chr20	49411446	49411929
chr20	62680395	62680489	chr20	62669945	62670635
chr20	62751600	62751966	chr20	62669945	62670635
chr21	44847063	44847155	chr21	44596874	44597182
chr21	44847677	44847923	chr21	44596874	44597182
chr21	45359400	45359561	chr21	45208670	45210808
chr21	45395400	45395517	chr21	45358582	45359198
chr21	47063414	47064180	chr21	46974674	46974996
chr22	39679010	39680270	chr22	39711210	39716828
chr22	39852800	39852966	chr22	39914937	39919726
chr22	39884541	39884600	chr22	39914937	39919726
chr22	39886200	39886598	chr22	39914937	39919726
chr22	39896889	39897400	chr22	39914937	39919726
chrX	150152429	150152521	chrX	150066326	150068184
chrX	151154040	151154795	chrX	151140516	151144029
chrX	153267133	153268325	chrX	153234147	153239446
chrX	153747768	153748076	chrX	153717943	153719875
chrX	153989043	153989600	chrX	153978083	153980000
